Title,URL,Source
Research progress of GPC3 and gastric cancer: Clinicopathologic characteristics and application prospects.,https://pubmed.ncbi.nlm.nih.gov/42035578/,PubMed
Integrated transcriptomic and proteomic validation identifies SLC35D3 as a tumor-selective surface antigen for colorectal and neuroendocrine carcinomas.,https://pubmed.ncbi.nlm.nih.gov/42023079/,PubMed
Bispecific Ligand-Based EphB4 CAR-T Cells Generated Using Ephrin-B2 Show Potent Antitumor Activity Against Lung Adenocarcinoma.,https://pubmed.ncbi.nlm.nih.gov/42011544/,PubMed
Highly Skewed Immunohistochemical αβ:γδ Ratios for T-Cell Receptors Can Be Detected in Reactive Duodenal Biopsies.,https://pubmed.ncbi.nlm.nih.gov/41951224/,PubMed
Dynamics of BCMA expression in patients with relapsed/refractory multiple myeloma receiving BCMA-directed CAR-T therapy.,https://pubmed.ncbi.nlm.nih.gov/41935039/,PubMed
Synergistic Antitumor Efficacy of Radiofrequency Ablation Combined With TROP2-CAR-T Cells in a Xenograft Mouse Model of Lung Adenocarcinoma.,https://pubmed.ncbi.nlm.nih.gov/41905757/,PubMed
Hypoxia-responsive CEA-targeted CAR T cells in CEA-positive solid tumors through intraperitoneal or intravenous infusion: a phase 1 trial.,https://pubmed.ncbi.nlm.nih.gov/41760800/,PubMed
LRRC15-CAR T Cells for the Treatment of Osteosarcoma.,https://pubmed.ncbi.nlm.nih.gov/41627173/,PubMed
Techniques to study chimerism at the tissue level in humanized mice.,https://pubmed.ncbi.nlm.nih.gov/41268758/,PubMed
Characterization of host immune cell infiltrate in human CAR T cell-mediated xenogeneic graft versus host disease in NSG mice.,https://pubmed.ncbi.nlm.nih.gov/41257368/,PubMed
